value,freq_move,freq_1,freq_2,rates_move,rates_move_player1,rates_move_player2
0,0,0,0,0.0,0.0,0.0
1,0,0,0,0.0,0.0,0.0
2,0,0,0,0.0,0.0,0.0
3,0,0,0,0.0,0.0,0.0
4,2,0,2,0.002,0.0,0.004032258064516129
5,13,8,5,0.013,0.015873015873015872,0.010080645161290322
6,20,7,13,0.02,0.013888888888888888,0.02620967741935484
7,28,12,16,0.028,0.023809523809523808,0.03225806451612903
8,37,19,18,0.037,0.037698412698412696,0.036290322580645164
9,35,14,21,0.035,0.027777777777777776,0.04233870967741935
10,40,23,17,0.04,0.04563492063492063,0.034274193548387094
11,54,25,29,0.054,0.0496031746031746,0.05846774193548387
12,46,20,26,0.046,0.03968253968253968,0.05241935483870968
13,63,30,33,0.063,0.05952380952380952,0.06653225806451613
14,57,35,22,0.057,0.06944444444444445,0.04435483870967742
15,61,31,30,0.061,0.061507936507936505,0.06048387096774194
16,53,26,27,0.053,0.051587301587301584,0.05443548387096774
17,64,24,40,0.064,0.047619047619047616,0.08064516129032258
18,45,27,18,0.045,0.05357142857142857,0.036290322580645164
19,60,39,21,0.06,0.07738095238095238,0.04233870967741935
20,50,27,23,0.05,0.05357142857142857,0.046370967741935484
21,40,24,16,0.04,0.047619047619047616,0.03225806451612903
22,40,16,24,0.04,0.031746031746031744,0.04838709677419355
23,27,15,12,0.027,0.02976190476190476,0.024193548387096774
24,44,24,20,0.044,0.047619047619047616,0.04032258064516129
25,30,15,15,0.03,0.02976190476190476,0.03024193548387097
26,13,4,9,0.013,0.007936507936507936,0.018145161290322582
27,22,10,12,0.022,0.01984126984126984,0.024193548387096774
28,18,11,7,0.018,0.021825396825396824,0.014112903225806451
29,11,4,7,0.011,0.007936507936507936,0.014112903225806451
30,4,2,2,0.004,0.003968253968253968,0.004032258064516129
31,7,2,5,0.007,0.003968253968253968,0.010080645161290322
32,6,5,1,0.006,0.00992063492063492,0.0020161290322580645
33,5,3,2,0.005,0.005952380952380952,0.004032258064516129
34,2,0,2,0.002,0.0,0.004032258064516129
35,1,1,0,0.001,0.001984126984126984,0.0
36,0,0,0,0.0,0.0,0.0
37,0,0,0,0.0,0.0,0.0
38,0,0,0,0.0,0.0,0.0
39,1,1,0,0.001,0.001984126984126984,0.0
40,0,0,0,0.0,0.0,0.0
41,0,0,0,0.0,0.0,0.0
42,0,0,0,0.0,0.0,0.0
43,0,0,0,0.0,0.0,0.0
44,0,0,0,0.0,0.0,0.0
45,0,0,0,0.0,0.0,0.0
46,0,0,0,0.0,0.0,0.0
47,0,0,0,0.0,0.0,0.0
48,1,0,1,0.001,0.0,0.0020161290322580645
